label,text
miedo_ansiedad,Tengo miedo de que se me vuelva a subir la glucosa y estar sola
miedo_ansiedad,Me da pánico cuando me siento mareada porque pienso que me voy a desmayar
miedo_ansiedad,Le tengo mucho miedo a quedarme ciega como le pasó a mi tía
miedo_ansiedad,Cada vez que me pico el dedo me entra un nervio horrible de ver el número
miedo_ansiedad,Tengo terror de que me amputen un pie como a mi vecino
miedo_ansiedad,Me angustia mucho salir sola por si me baja el azúcar en la calle
miedo_ansiedad,De noche no puedo dormir pensando en las complicaciones que pueden venir
miedo_ansiedad,Me aterra depender de alguien para todo si me sigo complicando
miedo_ansiedad,Siento un susto muy grande cuando el glucómetro marca más de 300
miedo_ansiedad,Tengo miedo de que mis riñones ya estén dañados y no lo sepa
miedo_ansiedad,Me pone muy nerviosa ir al médico porque no sé qué me va a decir
miedo_ansiedad,Tengo pesadillas con que me quedo en coma por la diabetes
miedo_ansiedad,Me da mucho miedo comer en restaurantes porque no sé qué le ponen a la comida
miedo_ansiedad,Siento mucha angustia cuando se me olvida tomar el medicamento
miedo_ansiedad,Me aterra pensar en mis nietos creciendo sin mí por esta enfermedad
tristeza,Ya no puedo comer lo que me gustaba y siento que perdí parte de mi vida
tristeza,Me pongo muy triste cuando veo a mi familia comiendo y yo tengo que negarme
tristeza,Desde que me diagnosticaron ya no soy el mismo
tristeza,Lloro a veces sin razón
tristeza,Extraño mucho cómo era mi vida antes de la diabetes
tristeza,Me da mucha tristeza ya no poder trabajar igual por el cansancio
tristeza,Siento que perdí mi libertad desde que tengo que estar midiendo todo lo que como
tristeza,Me entristece mucho ver que mis niveles no mejoran aunque me esfuerzo
tristeza,A veces siento que esta enfermedad me robó la vejez que yo imaginaba
tristeza,Me pone muy triste que mis amigos ya no me invitan a las comidas como antes
tristeza,Siento una pena muy grande cuando pienso en todo lo que ya no puedo hacer
tristeza,Lloré mucho el día que me dijeron que tenía diabetes
tristeza,Me da tristeza ver que mi esposo tiene que cambiar su vida también por mi enfermedad
tristeza,Ya no tengo ganas de salir
tristeza,Me siento muy apagado desde el diagnóstico
enojo_frustracion,Es muy injusto
enojo_frustracion,Me desespera que el médico no me explique bien qué tengo que hacer
enojo_frustracion,Me enoja muchísimo que en el IMSS me den cita hasta en tres meses
enojo_frustracion,Estoy harto de que todo mundo me diga lo que puedo y no puedo comer
enojo_frustracion,Me saca de quicio que mi familia me esté vigilando todo el tiempo
enojo_frustracion,Por qué a mí
enojo_frustracion,Me frustra mucho que los medicamentos sean tan caros
enojo_frustracion,Me desespero cuando llevo semanas cuidándome y los niveles no bajan
enojo_frustracion,Me enoja que el doctor me cambie el medicamento sin explicarme por qué
enojo_frustracion,Estoy muy molesto con mi cuerpo
enojo_frustracion,Me saca de onda que en las fiestas nadie piense en lo que yo puedo comer
enojo_frustracion,Me enoja no poder hacer ejercicio como quisiera por el dolor en los pies
enojo_frustracion,Me desespera tener que depender de pastillas para todo
